date,quantity,price,ticker,cusip
2023-11-15,1613,16.87,BYON,690370101
2023-11-16,5074,17.15,BYON,690370101
2023-11-20,10237,16.22,BYON,690370101
2023-11-21,24080,16.37,BYON,690370101
2023-11-24,24,15.78,BYON,690370101
2023-12-01,151751,19.22,BYON,690370101
2023-12-05,3103,22.69,BYON,690370101
2023-12-06,405,22.55,BYON,690370101
2023-12-08,24949,22.81,BYON,690370101
2023-12-11,41,23.32,BYON,690370101
2023-12-13,42308,22.85,BYON,690370101
2023-12-14,5657,24.87,BYON,690370101
2023-12-18,3141,24.49,BYON,690370101
2023-12-19,5667,24.66,BYON,690370101
2023-12-20,393,25.55,BYON,690370101
2023-12-26,206,27.93,BYON,690370101
2023-12-27,943,27.81,BYON,690370101
2024-01-03,1100,26.77,BYON,690370101
2024-01-23,1614,24.65,BYON,690370101
2024-02-07,201,22.13,BYON,690370101
2024-02-13,2295,25.83,BYON,690370101
2024-03-06,7439,34.19,BYON,690370101
2024-03-12,1152,34.18,BYON,690370101
2024-03-13,11962,34.44,BYON,690370101
2024-03-19,141,34.05,BYON,690370101
2024-03-26,705,35.20,BYON,690370101
2024-04-05,79142,30.41,BYON,690370101
2024-04-10,212,29.43,BYON,690370101
2024-04-25,85,22.35,BYON,690370101
2024-05-10,11442,17.47,BYON,690370101
2024-05-13,72839,16.86,BYON,690370101
2024-05-15,129,19.81,BYON,690370101
2024-05-16,85,19.30,BYON,690370101
2024-05-29,11777,15.32,BYON,690370101
2024-05-31,6080,15.13,BYON,690370101
2024-06-04,2301,15.34,BYON,690370101
2024-06-10,593,14.94,BYON,690370101
2024-06-11,98969,14.34,BYON,690370101
2024-06-14,3267,13.68,BYON,690370101
2024-06-25,79,13.17,BYON,690370101
2024-07-01,12162,13.08,BYON,690370101
2024-07-02,351,12.96,BYON,690370101
2024-07-03,12312,12.87,BYON,690370101
2024-07-09,5795,12.73,BYON,690370101
2024-07-11,500,12.40,BYON,690370101
2024-07-15,31477,13.96,BYON,690370101
2024-07-17,588,14.79,BYON,690370101
2024-07-18,235,14.69,BYON,690370101
2024-07-19,2193,14.33,BYON,690370101
2024-07-22,214,13.96,BYON,690370101
2024-07-23,316,13.68,BYON,690370101
2024-07-29,2,13.81,BYON,690370101
2024-07-31,8706,12.26,BYON,690370101
2024-08-01,45861,11.30,BYON,690370101
2024-08-05,8167,10.38,BYON,690370101
2024-08-06,1956,10.63,BYON,690370101
2024-08-08,10414,9.93,BYON,690370101
2024-08-09,1071,10.04,BYON,690370101
2024-08-12,4903,9.62,BYON,690370101
2024-08-13,600,9.26,BYON,690370101
2024-08-14,1225,9.91,BYON,690370101
2024-08-16,3537,10.61,BYON,690370101
2024-08-19,2261,10.52,BYON,690370101
2024-08-20,4774,10.40,BYON,690370101
2024-08-21,56598,10.31,BYON,690370101
2024-08-22,129965,11.16,BYON,690370101
2024-08-23,21052,10.30,BYON,690370101
2024-08-26,5505,11.05,BYON,690370101
2024-08-29,21402,10.21,BYON,690370101
2024-09-10,97,10.25,BYON,690370101
2024-09-11,5016,11.99,BYON,690370101
2024-09-12,21239,11.01,BYON,690370101
2024-09-16,3628,11.38,BYON,690370101
2024-09-17,89,10.94,BYON,690370101
2024-09-19,114,10.87,BYON,690370101
2024-09-20,19304,10.96,BYON,690370101
2024-10-01,2,10.08,BYON,690370101
2024-10-04,326,9.19,BYON,690370101
2024-10-07,7907,10.50,BYON,690370101
2024-10-08,29,10.81,BYON,690370101
2024-10-15,10736,10.17,BYON,690370101
2024-10-16,204,10.34,BYON,690370101
