date,quantity
2014-06-10,42148
2014-06-11,138722
2014-06-12,376105
2014-06-13,1670416
2014-06-16,33028
2014-06-17,266883
2014-06-18,167
2014-06-19,7254
2014-06-20,240
2014-06-23,41284
2014-06-24,15571
2014-06-25,19042
2014-06-26,214
2014-06-27,18193
2014-06-30,2768
2014-07-01,21161
2014-07-03,12865
2014-07-07,4545
2014-07-08,2027
2014-07-10,254
2014-07-11,5822
2014-07-15,3521
2014-07-16,304
2014-07-18,2682
2014-07-21,1895
2014-07-22,14431
2014-07-23,8558
2014-07-24,5456
2014-07-25,36486
2014-07-28,3047
2014-07-29,5842
2014-07-30,7860
2014-07-31,2745
2014-08-01,2653
2014-08-05,263142
2014-08-06,69324
2014-08-07,17983
2014-08-08,83
2014-08-11,30307
2014-08-12,5120
2014-08-13,3978
2014-08-14,6871
2014-08-15,10393
2014-08-18,5362
2014-08-20,5184
2014-08-21,3810
2014-08-22,3486
2014-08-25,184
2014-08-26,90203
2014-08-27,23886
2014-08-28,2854
2014-08-29,281
2014-09-02,12398
2014-09-03,1007652
2014-09-04,5820
2014-09-05,7095
2014-09-08,671
2014-09-09,9254
2014-09-10,13120
2014-09-11,47075
2014-09-12,252
2014-09-15,2745
2014-09-16,977
2014-09-17,721
2014-09-18,2100783
2014-09-22,200
2014-09-23,213
2014-09-24,672861
2014-09-25,2936
2014-09-26,3493
2014-09-30,3150
2014-10-01,28598
2014-10-02,44574
2014-10-03,271714
2014-10-06,2127
2014-10-08,100
2014-10-09,6138
2014-10-10,599
2014-10-14,6943
2014-10-15,2198290
2014-10-16,10495
2014-10-17,10175
2014-10-20,6948
2014-10-22,1525
2014-10-23,1703
2014-10-24,3739
2014-10-27,57795
2014-10-28,2779
2014-10-29,10925
2014-10-30,14798
2014-10-31,15020
2014-11-03,41275
2014-11-04,56533
2014-11-05,700
2014-11-06,7086
2014-11-07,17574
2014-11-10,43654
2014-11-12,6166
2014-11-13,7153
2014-11-14,14526
2014-11-17,6136
2014-11-18,10743
2014-11-19,11103
2014-11-20,16319
2014-11-21,37876
2014-11-24,75
2014-11-25,22162
2014-11-26,33973
2014-11-28,89811
2014-12-01,5796
2014-12-02,13203
2014-12-03,6469
2014-12-04,54887
2014-12-05,1003
2014-12-08,870
2014-12-09,1796
2014-12-10,38552
2014-12-11,1071
2014-12-12,3767
2014-12-15,19851
2014-12-17,12720
2014-12-18,970
2014-12-19,2041
2014-12-22,3413
2014-12-23,2550
2014-12-24,893856
2014-12-26,44575
2014-12-29,2486
2014-12-30,561
2014-12-31,294
2015-01-02,144
2015-01-05,52749
2015-01-06,92
2015-01-07,2592
2015-01-08,877
2015-01-09,593
2015-01-12,3648
2015-01-13,6233
2015-01-14,1941
2015-01-15,612
2015-01-16,6224
2015-01-21,9
2015-01-22,5499
2015-01-27,1462
2015-01-28,681
2015-01-29,116
2015-01-30,105
2015-02-02,4543
2015-02-03,14895
2015-02-05,9314
2015-02-06,5352
2015-02-09,2273
2015-02-10,105
2015-02-11,2537
2015-02-12,26
2015-02-13,6202
2015-02-17,50668
2015-02-18,39452
2015-02-19,3537
2015-02-20,1288
2015-02-23,5153
2015-02-24,43277
2015-02-25,94771
2015-02-26,744
2015-03-02,3780
2015-03-03,383238
2015-03-04,12518
2015-03-05,576
2015-03-06,2993
2015-03-09,1613
2015-03-10,1072
2015-03-11,120801
2015-03-16,9502
2015-03-17,1724
2015-03-18,5605
2015-03-19,9205
2015-03-20,5038
2015-03-23,1367
2015-03-24,286
2015-03-25,479669
2015-03-30,14627
2015-03-31,3501
2015-04-01,1460
2015-04-02,7065
2015-04-06,6146
2015-04-07,433
2015-04-08,35
2015-04-09,78
2015-04-10,1701
2015-04-13,5
2015-04-14,16504
2015-04-15,1487
2015-04-16,172
2015-04-17,252
2015-04-20,1604
2015-04-21,1882
2015-04-22,3182
2015-04-23,3757
2015-04-24,2664
2015-04-27,10375
2015-04-28,3105
2015-04-29,162
2015-04-30,111
2015-05-01,4516
2015-05-04,264
2015-05-05,1703
2015-05-06,20448
2015-05-07,56188
2015-05-08,388
2015-05-11,618687
2015-05-12,4760
2015-05-13,291
2015-05-14,19
2015-05-15,1710
2015-05-18,1358
2015-05-20,1053
2015-05-21,1502
2015-05-22,3061
2015-05-26,34461
2015-05-27,1150
2015-05-28,8261
2015-05-29,73619
2015-06-03,202584
2015-06-04,429
2015-06-09,85140
2015-06-10,7208
2015-06-11,4652
2015-06-12,314
2015-06-15,217768
2015-06-18,9731
2015-06-19,2171
2015-06-22,3154
2015-06-23,4103
2015-06-24,20912
2015-06-25,1269
2015-06-26,487
2015-06-29,1993
2015-06-30,3737
2015-07-01,5758
2015-07-02,11079
2015-07-06,2499
2015-07-07,7696
2015-07-08,7539
2015-07-09,2866
2015-07-10,12874
2015-07-13,8418
2015-07-14,5914
2015-07-15,1900
2015-07-16,600
2015-07-20,63129
2015-07-21,2250
2015-07-22,24112
2015-07-23,4818
2015-07-27,2571
2015-07-28,4217
2015-07-29,24082
2015-07-30,13760
2015-07-31,5864
2015-08-03,15506
2015-08-04,159
2015-08-05,600
2015-08-06,5075
2015-08-07,555
2015-08-10,2199
2015-08-11,3769
2015-08-12,130693
2015-08-13,1824
2015-08-14,6233
2015-08-17,892
2015-08-18,548
2015-08-19,139927
2015-08-25,3655
2015-08-26,27590
2015-08-27,10571
2015-08-28,2228
2015-08-31,469063
2015-09-01,110516
2015-09-02,1925
2015-09-03,8738
2015-09-04,15029
